Opcode,M_Cycle,Label,Addr_Sel,Reg_Dest,Reg_Src,ALU_Op,IDU_Op,Mem_Read,Mem_Write,Is_Done
0x00,1,RLC B M1,PC,REG_B,REG_B,RLC,PC_INC,1,0,1
0x01,1,RLC C M1,PC,REG_C,REG_C,RLC,PC_INC,1,0,1
0x02,1,RLC D M1,PC,REG_D,REG_D,RLC,PC_INC,1,0,1
0x03,1,RLC E M1,PC,REG_E,REG_E,RLC,PC_INC,1,0,1
0x04,1,RLC H M1,PC,REG_H,REG_H,RLC,PC_INC,1,0,1
0x05,1,RLC L M1,PC,REG_L,REG_L,RLC,PC_INC,1,0,1
0x07,1,RLC A M1,PC,REG_A,REG_A,RLC,PC_INC,1,0,1
0x06,1,RLC HL M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0x06,2,RLC HL M2,HL,REG_MEM,REG_MEM,RLC,NONE,1,0,0
0x06,3,RLC HL M3,HL,NONE,NONE,NONE,NONE,0,1,1
0x08,1,RRC B M1,PC,REG_B,REG_B,RRC,PC_INC,1,0,1
0x09,1,RRC C M1,PC,REG_C,REG_C,RRC,PC_INC,1,0,1
0x0A,1,RRC D M1,PC,REG_D,REG_D,RRC,PC_INC,1,0,1
0x0B,1,RRC E M1,PC,REG_E,REG_E,RRC,PC_INC,1,0,1
0x0C,1,RRC H M1,PC,REG_H,REG_H,RRC,PC_INC,1,0,1
0x0D,1,RRC L M1,PC,REG_L,REG_L,RRC,PC_INC,1,0,1
0x0F,1,RRC A M1,PC,REG_A,REG_A,RRC,PC_INC,1,0,1
0x0E,1,RRC HL M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0x0E,2,RRC HL M2,HL,REG_MEM,REG_MEM,RRC,NONE,1,0,0
0x0E,3,RRC HL M3,HL,NONE,NONE,NONE,NONE,0,1,1
0x10,1,RL B M1,PC,REG_B,REG_B,RL,PC_INC,1,0,1
0x11,1,RL C M1,PC,REG_C,REG_C,RL,PC_INC,1,0,1
0x12,1,RL D M1,PC,REG_D,REG_D,RL,PC_INC,1,0,1
0x13,1,RL E M1,PC,REG_E,REG_E,RL,PC_INC,1,0,1
0x14,1,RL H M1,PC,REG_H,REG_H,RL,PC_INC,1,0,1
0x15,1,RL L M1,PC,REG_L,REG_L,RL,PC_INC,1,0,1
0x17,1,RL A M1,PC,REG_A,REG_A,RL,PC_INC,1,0,1
0x16,1,RL HL M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0x16,2,RL HL M2,HL,REG_MEM,REG_MEM,RL,NONE,1,0,0
0x16,3,RL HL M3,HL,NONE,NONE,NONE,NONE,0,1,1
0x18,1,RR B M1,PC,REG_B,REG_B,RR,PC_INC,1,0,1
0x19,1,RR C M1,PC,REG_C,REG_C,RR,PC_INC,1,0,1
0x1A,1,RR D M1,PC,REG_D,REG_D,RR,PC_INC,1,0,1
0x1B,1,RR E M1,PC,REG_E,REG_E,RR,PC_INC,1,0,1
0x1C,1,RR H M1,PC,REG_H,REG_H,RR,PC_INC,1,0,1
0x1D,1,RR L M1,PC,REG_L,REG_L,RR,PC_INC,1,0,1
0x1F,1,RR A M1,PC,REG_A,REG_A,RR,PC_INC,1,0,1
0x1E,1,RR HL M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0x1E,2,RR HL M2,HL,REG_MEM,REG_MEM,RR,NONE,1,0,0
0x1E,3,RR HL M3,HL,NONE,NONE,NONE,NONE,0,1,1
0x20,1,SLA B M1,PC,REG_B,REG_B,SLA,PC_INC,1,0,1
0x21,1,SLA C M1,PC,REG_C,REG_C,SLA,PC_INC,1,0,1
0x22,1,SLA D M1,PC,REG_D,REG_D,SLA,PC_INC,1,0,1
0x23,1,SLA E M1,PC,REG_E,REG_E,SLA,PC_INC,1,0,1
0x24,1,SLA H M1,PC,REG_H,REG_H,SLA,PC_INC,1,0,1
