Opcode,M_Cycle,Label,Addr_Sel,Reg_Dest,Reg_Src,ALU_Op,IDU_Op,Mem_Read,Mem_Write,Is_Done
0x00,1,NOP M1,PC,NONE,NONE,NONE,PC_INC,1,0,1
0x40,1,"LD B, B M1",PC,REG_B,REG_B,NONE,PC_INC,1,0,1
0x41,1,"LD B, C M1",PC,REG_B,REG_C,NONE,PC_INC,1,0,1
0x42,1,"LD B, D M1",PC,REG_B,REG_D,NONE,PC_INC,1,0,1
0x43,1,"LD B, E M1",PC,REG_B,REG_E,NONE,PC_INC,1,0,1
0x44,1,"LD B, H M1",PC,REG_B,REG_H,NONE,PC_INC,1,0,1
0x45,1,"LD B, L M1",PC,REG_B,REG_L,NONE,PC_INC,1,0,1
0x47,1,"LD B, A M1",PC,REG_B,REG_A,NONE,PC_INC,1,0,1
0x48,1,"LD C, B M1",PC,REG_C,REG_B,NONE,PC_INC,1,0,1
0x49,1,"LD C, C M1",PC,REG_C,REG_C,NONE,PC_INC,1,0,1
0x4A,1,"LD C, D M1",PC,REG_C,REG_D,NONE,PC_INC,1,0,1
0x4B,1,"LD C, E M1",PC,REG_C,REG_E,NONE,PC_INC,1,0,1
0x4C,1,"LD C, H M1",PC,REG_C,REG_H,NONE,PC_INC,1,0,1
0x4D,1,"LD C, L M1",PC,REG_C,REG_L,NONE,PC_INC,1,0,1
0x4F,1,"LD C, A M1",PC,REG_C,REG_A,NONE,PC_INC,1,0,1
0x50,1,"LD D, B M1",PC,REG_D,REG_B,NONE,PC_INC,1,0,1
0x51,1,"LD D, C M1",PC,REG_D,REG_C,NONE,PC_INC,1,0,1
0x52,1,"LD D, D M1",PC,REG_D,REG_D,NONE,PC_INC,1,0,1
0x53,1,"LD D, E M1",PC,REG_D,REG_E,NONE,PC_INC,1,0,1
0x54,1,"LD D, H M1",PC,REG_D,REG_H,NONE,PC_INC,1,0,1
0x55,1,"LD D, L M1",PC,REG_D,REG_L,NONE,PC_INC,1,0,1
0x57,1,"LD D, A M1",PC,REG_D,REG_A,NONE,PC_INC,1,0,1
0x58,1,"LD E, B M1",PC,REG_E,REG_B,NONE,PC_INC,1,0,1
0x59,1,"LD E, C M1",PC,REG_E,REG_C,NONE,PC_INC,1,0,1
0x5A,1,"LD E, D M1",PC,REG_E,REG_D,NONE,PC_INC,1,0,1
0x5B,1,"LD E, E M1",PC,REG_E,REG_E,NONE,PC_INC,1,0,1
0x5C,1,"LD E, H M1",PC,REG_E,REG_H,NONE,PC_INC,1,0,1
0x5D,1,"LD E, L M1",PC,REG_E,REG_L,NONE,PC_INC,1,0,1
0x5F,1,"LD E, A M1",PC,REG_E,REG_A,NONE,PC_INC,1,0,1
0x60,1,"LD H, B M1",PC,REG_H,REG_B,NONE,PC_INC,1,0,1
0x61,1,"LD H, C M1",PC,REG_H,REG_C,NONE,PC_INC,1,0,1
0x62,1,"LD H, D M1",PC,REG_H,REG_D,NONE,PC_INC,1,0,1
0x63,1,"LD H, E M1",PC,REG_H,REG_E,NONE,PC_INC,1,0,1
0x64,1,"LD H, H M1",PC,REG_H,REG_H,NONE,PC_INC,1,0,1
0x65,1,"LD H, L M1",PC,REG_H,REG_L,NONE,PC_INC,1,0,1
0x67,1,"LD H, A M1",PC,REG_H,REG_A,NONE,PC_INC,1,0,1
0x68,1,"LD L, B M1",PC,REG_L,REG_B,NONE,PC_INC,1,0,1
0x69,1,"LD L, C M1",PC,REG_L,REG_C,NONE,PC_INC,1,0,1
0x6A,1,"LD L, D M1",PC,REG_L,REG_D,NONE,PC_INC,1,0,1
0x6B,1,"LD L, E M1",PC,REG_L,REG_E,NONE,PC_INC,1,0,1
0x6C,1,"LD L, H M1",PC,REG_L,REG_H,NONE,PC_INC,1,0,1
0x6D,1,"LD L, L M1",PC,REG_L,REG_L,NONE,PC_INC,1,0,1
0x6F,1,"LD L, A M1",PC,REG_L,REG_A,NONE,PC_INC,1,0,1
0x78,1,"LD A, B M1",PC,REG_A,REG_B,NONE,PC_INC,1,0,1
0x79,1,"LD A, C M1",PC,REG_A,REG_C,NONE,PC_INC,1,0,1
0x7A,1,"LD A, D M1",PC,REG_A,REG_D,NONE,PC_INC,1,0,1
0x7B,1,"LD A, E M1",PC,REG_A,REG_E,NONE,PC_INC,1,0,1
0x7C,1,"LD A, H M1",PC,REG_A,REG_H,NONE,PC_INC,1,0,1
0x7D,1,"LD A, L M1",PC,REG_A,REG_L,NONE,PC_INC,1,0,1
