Opcode,M_Cycle,Label,Addr_Sel,Reg_Dest,Reg_Src,ALU_Op,IDU_Op,Mem_Read,Mem_Write,Is_Done
0x00,1,NOP M1,PC,NONE,NONE,NONE,PC_INC,1,0,1
0x02,1,"LD BC, A M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0x02,2,"LD BC, A M2",BC,REG_MEM,REG_A,NONE,NONE,0,1,1
0x12,1,"LD DE, A M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0x12,2,"LD DE, A M2",DE,REG_MEM,REG_A,NONE,NONE,0,1,1
0xFA,1,"LD A, nn M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0xFA,2,"LD A, nn M2",PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
0xFA,3,"LD A, nn M3",PC,TEMP_W,REG_MEM,NONE,PC_INC,1,0,0
0xFA,4,"LD A, nn M4",WZ,REG_A,REG_MEM,NONE,NONE,1,0,1
0xEA,1,"LD nn, A M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0xEA,2,"LD nn, A M2",PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
0xEA,3,"LD nn, A M3",PC,TEMP_W,REG_MEM,NONE,PC_INC,1,0,0
0xEA,4,"LD nn, A M4",WZ,REG_MEM,REG_A,NONE,NONE,0,1,1
0xF2,1,"LDH A, C M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0xF2,2,"LDH A, C M3",FF00_C,REG_A,REG_MEM,NONE,NONE,1,0,1
0xE2,1,"LDH C, A M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0xE2,2,"LDH C, A M2",FF00_C,REG_MEM,REG_A,NONE,NONE,0,1,1
0xF0,1,"LDH A, n M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0xF0,2,"LDH A, n M2",PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
0xF0,3,"LDH A, n M3",FF00_Z,REG_A,REG_MEM,NONE,NONE,1,0,1
0xE0,1,"LD n, A M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0xE0,2,"LD n, A M2",PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
0xE0,3,"LD n, A M3",FF00_Z,REG_MEM,REG_A,NONE,NONE,0,1,1
